Établissement,Filière de formation,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,Effectif total des candidats ayant accepté la proposition de l’établissement (admis),Dont effectif des candidates admises,Dont effectif des admis issus du même établissement,Dont effectif des admis issus de la même académie,% d’admis dont filles,Académie de l’établissement,Région de l'établissement,Dont effectif des candidats garçons pour une formation,% des candidates pour une formation,Dont effectif des candidats garçons admis,% admis meme academie,% admis meme établissement
Université Paris Cité,"Projets informatiques et Stratégie d'entreprise (master, économie)",72,40,12,8,2,7,66.7,Paris,Île-de-France,32,55.6,4,58.3,16.7
Université Paris Cité,"Langages et Programmation (master, sciences, informatique)",283,78,16,1,7,8,6.2,Paris,Île-de-France,205,27.6,15,50.0,43.8
Université Paris Cité,"Données : Algorithmes, Traitement et Analyse (master, sciences, informatique)",313,108,27,8,17,18,29.6,Paris,Île-de-France,205,34.5,19,66.7,63.0
Université Paris Cité,"Master Parisien de Recherche en Informatique (MPRI) (master, sciences, informatique)",76,21,6,1,3,3,16.7,Paris,Île-de-France,55,27.6,5,50.0,50.0
Université Paris Cité,"Double master Informatique fondamentale et appliquée/Mathématiques et applications : parcours Sciences de la données/Mathématiques, Informatique, sciences de la données (master, sciences, informatique, mathématiques)",91,30,6,1,4,4,16.7,Paris,Île-de-France,61,33.0,5,66.7,66.7
Université Paris Cité,"Double master Informatique fondamentale et appliquée/Mathématiques et applications : parcours Cryptologie-sécurité/Mathématiques Informatique et applications à la cryptologie (master, sciences, informatique, mathématiques)",79,23,5,0,2,2,0.0,Paris,Île-de-France,56,29.1,5,40.0,40.0
Université Paris Cité,"Cybersécurité et e-santé (master, sciences, informatique)",456,146,18,9,4,8,50.0,Paris,Île-de-France,310,32.0,9,44.4,22.2
Université Paris Cité,"Intelligence artificielle distribuée (master, sciences, informatique)",570,162,7,0,2,4,0.0,Paris,Île-de-France,408,28.4,7,57.1,28.6
Université de Montpellier,Sciences Numériques et Technologiques – Numérique et Sciences informatiques (SNT-SNI),37,11,5,2,1,1,40.0,Montpellier,Occitanie,26,29.7,3,20.0,20.0
Université Paris Cité,"Ingénierie Statistique et Informatique de la Finance, de l’Assurance et du Risque (ISIFAR) -  (master, sciences)",463,156,22,9,13,14,40.9,Paris,Île-de-France,307,33.7,13,63.6,59.1
