Établissement,Académie de l’établissement,Région de l'établissement,Filière de formation,Effectif total des candidats pour une formation,Dont effectif des candidates pour une formation,Effectif total des candidats ayant accepté la proposition de l’établissement (admis),Dont effectif des candidates admises,Dont effectif des admis issus du même établissement,Dont effectif des admis issus de la même académie,% d’admis dont filles,Dont effectif des candidats garçons pour une formation,% des candidates pour une formation,Dont effectif des candidats garçons admis,% admis meme academie,% admis meme établissement
Université Paris Cité,Paris,Île-de-France,Génie Informatique en alternance (GENIAL),1018,267,18,3,9,13,16.7,751,26.2,15,72.2,50.0
Université Paris Nanterre,Versailles,Île-de-France,Données et société,153,120,10,9,2,3,90.0,33,78.4,1,30.0,20.0
Université Paris Nanterre,Versailles,Île-de-France,Données et société,131,98,5,4,1,1,80.0,33,74.8,1,20.0,20.0
Université Paris Cité,Paris,Île-de-France,Protection et valorisation des données de l'entreprise,839,370,24,10,23,23,41.7,469,44.1,14,95.8,95.8
Université Paris-Est Créteil,Créteil,Île-de-France,Informatique et droit,375,251,10,5,1,2,50.0,124,66.9,5,20.0,10.0
Université de Lille,Lille,Hauts-de-France,Ingénierie des projets informatiques nouvelles technologies - en alternance,620,214,6,1,6,6,16.7,406,34.5,5,100.0,100.0
Université Paris-Saclay,Versailles,Île-de-France,M1 DataScale : Gestion de données et extraction de connaissances à large échelle #PR1065,433,147,18,6,1,14,33.3,286,33.9,12,77.8,5.6
Université Gustave Eiffel,Créteil,Île-de-France,Qualité Sécurité Informatique,183,83,8,4,1,3,50.0,100,45.4,4,37.5,12.5
Université de Perpignan Via Domitia,Montpellier,Occitanie,Intelligence Artificielle et Automatique Avancée pour la gestion des énergies (I3A),82,23,16,3,3,3,18.8,59,28.0,13,18.8,18.8
Université de Lille,Lille,Hauts-de-France,Management de l'intelligence artificielle en santé,108,59,10,2,6,6,20.0,49,54.6,8,60.0,60.0
Université de Lille,Lille,Hauts-de-France,Machine learning,493,97,19,1,10,14,5.3,396,19.7,18,73.7,52.6
Université de Limoges,Limoges,Nouvelle-Aquitaine,"ISICG : INFORMATIQUE, SYNTHESE D'IMAGES ET CONCEPTION GRAPHIQUE",90,17,11,1,2,2,9.1,73,18.9,10,18.2,18.2
Université de Limoges,Limoges,Nouvelle-Aquitaine,ACSYON : Optimisation mathématique pour la science des données,46,21,4,0,1,1,0.0,25,45.7,4,25.0,25.0
Institut polytechnique de Grenoble,Grenoble,Auvergne-Rhône-Alpes,M1 Réseaux Informatiques d'Entreprise (RIE),586,124,10,0,0,9,0.0,462,21.2,10,90.0,0.0
Université de Pau et des Pays de l'Adour,Bordeaux,Nouvelle-Aquitaine,Systèmes Informatiques pour le Génie de la Logistique Industrielle et des Services (SIGLIS),32,2,1,0,1,1,0.0,30,6.2,1,100.0,100.0
Université Toulouse III - Paul Sabatier,Toulouse,Occitanie,Bioinformatique et Génomique Environnementale (BGE),69,39,8,5,1,1,62.5,30,56.5,3,12.5,12.5
Université Paris 1 - Panthéon Sorbonne,Paris,Île-de-France,Sciences des données et histoire,43,19,8,5,5,5,62.5,24,44.2,3,62.5,62.5
Université de Rennes,Rennes,Bretagne,Science des Données pour la Décision Publique,99,49,3,1,2,2,33.3,50,49.5,2,66.7,66.7
Université de Rennes,Rennes,Bretagne,Science des Données en Santé Publique,97,51,5,1,1,4,20.0,46,52.6,4,80.0,20.0
Université de Rouen Normandie,Normandie,Normandie,Science des données,342,117,14,8,11,11,57.1,225,34.2,6,78.6,78.6
Le Mans Université,Nantes,Pays de la Loire,Intelligence artificielle,327,66,8,1,6,6,12.5,261,20.2,7,75.0,75.0
Université Bretagne Sud,Rennes,Bretagne,Applications interactives et données numériques (AIDN),114,12,17,1,7,8,5.9,102,10.5,16,47.1,41.2
Université de Caen Normandie,Normandie,Normandie,Linguistique et traitement des données,87,59,5,3,3,3,60.0,28,67.8,2,60.0,60.0
Université de Rennes,Rennes,Bretagne,Méthodes informatiques appliquées à la gestion des entreprises - MIAGE Parcours Alternance,766,252,30,7,28,28,23.3,514,32.9,23,93.3,93.3
Université de Poitiers,Poitiers,Nouvelle-Aquitaine,Statistique et Données du Vivant,144,57,11,2,4,4,18.2,87,39.6,9,36.4,36.4
Université Côte d'Azur,Nice,Provence-Alpes-Côte d'Azur,Intelligence Artificielle (IA),511,124,2,1,0,0,50.0,387,24.3,1,0.0,0.0
Université de Strasbourg,Strasbourg,Grand Est,Droit comptable et données,75,33,11,9,6,7,81.8,42,44.0,2,63.6,54.5
Université de Haute-Alsace,Strasbourg,Grand Est,Informatique et mobilité,268,53,20,3,8,11,15.0,215,19.8,17,55.0,40.0
Université de Poitiers,Poitiers,Nouvelle-Aquitaine,"Génie Physiologique, Biotechnologique et Informatique",279,169,72,36,51,52,50.0,110,60.6,36,72.2,70.8
Université Paris Cité,Paris,Île-de-France,Protection des données personnelles,373,277,7,2,0,1,28.6,96,74.3,5,14.3,0.0
Université de Montpellier,Montpellier,Occitanie,Bioinformatique,257,123,18,7,4,4,38.9,134,47.9,11,22.2,22.2
Université de Montpellier,Montpellier,Occitanie,Bioinformatique,124,73,3,2,1,1,66.7,51,58.9,1,33.3,33.3
Université Paris Cité,Paris,Île-de-France,Biologie Informatique - Ingénierie de Plate-forme en Biologie,331,194,22,14,9,11,63.6,137,58.6,8,50.0,40.9
Université Paris Cité,Paris,Île-de-France,Master Parisien de Recherche en Informatique (MPRI),146,44,5,1,5,5,20.0,102,30.1,4,100.0,100.0
Université de Lorraine,Nancy-Metz,Grand Est,Numérique et sciences informatiques,29,7,8,2,2,2,25.0,22,24.1,6,25.0,25.0
Université Paris Nanterre,Versailles,Île-de-France,Systèmes d’Information fiables et intelligence des données _  Alternance - Apprentissage,688,281,15,8,9,9,53.3,407,40.8,7,60.0,60.0
Université Sorbonne Paris Nord,Créteil,Île-de-France,Traitement informatique et linguistique des documents écrits,157,113,6,3,1,3,50.0,44,72.0,3,50.0,16.7
Université Gustave Eiffel,Créteil,Île-de-France,Musique et Informatique Musicale,48,13,14,4,3,3,28.6,35,27.1,10,21.4,21.4
Université de Lille,Lille,Hauts-de-France,Ingénierie des projets informatiques nouvelles technologies,517,177,26,14,21,22,53.8,340,34.2,12,84.6,80.8
Université Paris-Saclay,Versailles,Île-de-France,M1 Mathématiques et Intelligence Artificielle #PR1094,362,100,23,4,13,14,17.4,262,27.6,19,60.9,56.5
Université Paris-Saclay,Versailles,Île-de-France,M1 MIAGE - Informatique décisionnelle Apprentissage #PR599,718,297,21,7,17,18,33.3,421,41.4,14,85.7,81.0
