gender,source,tags,country
male,api,data science,United States
male,api,data science,Denmark
female,api,data science,United States
,api,data science,
male,api,data science,
male,api,data science,United States
male,api,data science,Switzerland
male,api,data science,Japan
male,api,data science,
male,api,data science,Mexico
male,api,data science,United States
male,api,data science,United States
male,api,data science,United States
male,api,data science,United States
male,api,data science,Sweden
male,api,"data science, computer science",United States
male,api,"data science, computer science",
male,api,"data science, computer science",India
male,api,data science,United States
male,api,data science,United States
male,api,data science,Egypt
male,api,data science,
male,api,data science,
male,api,data science,United States
male,api,data science,
male,api,data science,
female,api,data science,
male,api,data science,Nepal
male,api,data science,India
male,api,data science,
female,api,data science,United States
male,api,data science,United States
male,api,data science,
male,api,data science,India
female,api,data science,United States
male,api,data science,United States
male,api,data science,
male,api,data science,United States
,api,data science,Japan
male,api,data science,India
,api,data science,Australia
female,api,data science,
male,api,data science,
male,api,data science,
female,api,data science,United States
female,api,data science,United States
,api,data science,France
female,api,data science,United Kingdom
male,api,data science,
female,api,data science,India
male,api,data science,
male,api,data science,India
male,api,data science,Mexico
male,api,data science,
male,api,data science,Canada
male,api,data science,
,api,data science,United States
female,api,data science,United States
male,api,data science,Australia
male,api,data science,United Kingdom
male,api,data science,India
female,api,data science,Brazil
female,api,data science,Kenya
male,api,data science,Brazil
male,api,data science,Sweden
female,api,data science,France
female,api,data science,
female,api,data science,
male,api,data science,
,api,data science,China
male,api,data science,India
male,api,data science,China
male,api,machine learning,United States
male,api,machine learning,
male,api,"machine learning, artificial intelligence, deep learning",Croatia
male,api,machine learning,Belgium
male,api,machine learning,
male,api,machine learning,
male,api,machine learning,
male,api,machine learning,United States
male,api,machine learning,Sweden
male,api,machine learning,
male,api,machine learning,
,api,machine learning,Canada
male,bio,machine learning,
male,api,machine learning,United States
male,api,machine learning,
male,api,machine learning,Taiwan
male,api,"machine learning, artificial intelligence, deep learning",United Kingdom
female,api,machine learning,United States
male,api,machine learning,Germany
,api,machine learning,Ukraine
male,api,machine learning,France
male,api,machine learning,
male,api,machine learning,Spain
male,api,machine learning,Croatia
female,api,machine learning,Finland
male,api,machine learning,India
,api,machine learning,China
male,api,machine learning,
,api,machine learning,China
male,api,machine learning,China
female,api,machine learning,
male,api,machine learning,China
,api,machine learning,China
,api,machine learning,
male,api,machine learning,China
,api,machine learning,Australia
male,api,machine learning,United States
male,api,machine learning,United States
male,api,machine learning,
male,api,machine learning,
male,api,machine learning,Spain
male,api,machine learning,Canada
male,api,machine learning,Philippines
male,api,"machine learning, artificial intelligence",India
male,api,machine learning,United States
male,api,machine learning,United States
male,api,"machine learning, artificial intelligence",
male,api,machine learning,
male,api,machine learning,Brazil
male,api,machine learning,United States
male,api,machine learning,United States
male,api,machine learning,Czechia
male,api,machine learning,Switzerland
male,api,machine learning,Australia
male,api,machine learning,United States
male,api,machine learning,Germany
male,api,machine learning,Canada
male,api,machine learning,Singapore
male,api,machine learning,
male,api,machine learning,Germany
male,api,machine learning,
male,api,machine learning,United States
male,api,machine learning,Brazil
male,api,artificial intelligence,United Kingdom
male,api,artificial intelligence,Italy
male,api,artificial intelligence,United States
,api,artificial intelligence,
female,api,artificial intelligence,
male,api,artificial intelligence,Morocco
male,api,artificial intelligence,Brazil
male,api,artificial intelligence,China
female,api,artificial intelligence,India
male,api,artificial intelligence,
male,api,artificial intelligence,United States
male,api,artificial intelligence,Germany
female,api,artificial intelligence,India
male,api,artificial intelligence,India
male,api,artificial intelligence,
male,api,artificial intelligence,Hungary
male,api,artificial intelligence,Canada
male,api,artificial intelligence,Germany
male,api,artificial intelligence,Italy
male,api,artificial intelligence,India
female,api,artificial intelligence,Canada
,api,artificial intelligence,Oman
male,api,artificial intelligence,
female,api,artificial intelligence,
male,api,artificial intelligence,China
male,api,artificial intelligence,
female,api,artificial intelligence,Netherlands
male,api,artificial intelligence,
female,api,artificial intelligence,China
male,api,artificial intelligence,
male,api,artificial intelligence,Germany
male,api,artificial intelligence,
male,api,artificial intelligence,Canada
male,api,artificial intelligence,Canada
male,api,artificial intelligence,
male,bio,artificial intelligence,Germany
female,api,artificial intelligence,Taiwan
female,api,artificial intelligence,Ethiopia
male,api,artificial intelligence,
male,api,artificial intelligence,
male,api,artificial intelligence,
male,api,artificial intelligence,Mexico
male,api,artificial intelligence,Romania
male,api,artificial intelligence,Netherlands
male,api,artificial intelligence,Australia
female,api,artificial intelligence,China
male,api,artificial intelligence,Netherlands
male,api,artificial intelligence,South Korea
male,api,artificial intelligence,Moldova
female,api,artificial intelligence,Colombia
,api,artificial intelligence,
male,api,artificial intelligence,India
male,api,artificial intelligence,United Kingdom
female,api,artificial intelligence,United States
male,api,artificial intelligence,India
,api,artificial intelligence,
male,api,artificial intelligence,United States
,api,deep learning,
,api,deep learning,
,api,deep learning,China
,api,deep learning,
,api,deep learning,
male,api,deep learning,China
male,api,deep learning,China
female,api,deep learning,China
,api,deep learning,China
,api,deep learning,China
male,api,deep learning,United Kingdom
male,api,deep learning,Australia
,api,deep learning,China
male,api,deep learning,China
female,api,deep learning,France
,api,deep learning,China
female,api,deep learning,China
male,api,deep learning,Argentina
male,api,deep learning,
,api,deep learning,
male,api,deep learning,
male,api,deep learning,China
male,api,deep learning,China
male,api,deep learning,China
female,api,deep learning,China
male,api,deep learning,China
male,api,deep learning,
,api,deep learning,Poland
male,api,deep learning,United States
male,api,deep learning,Poland
male,api,deep learning,
,api,deep learning,
female,api,deep learning,
male,api,deep learning,Poland
male,api,deep learning,Poland
male,api,deep learning,
male,api,deep learning,
,api,deep learning,Poland
male,api,deep learning,Poland
male,api,deep learning,
male,api,deep learning,
male,api,deep learning,Poland
female,api,deep learning,
male,api,deep learning,
male,api,deep learning,United States
male,api,deep learning,Australia
male,api,deep learning,United States
male,api,deep learning,Poland
male,api,deep learning,
,api,deep learning,
male,api,deep learning,United States
male,api,deep learning,
male,api,deep learning,India
male,api,deep learning,Taiwan
male,api,deep learning,United States
male,api,deep learning,United States
